InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateParsed,TransactionDate,Year,Month,Revenue,IsReturn
536418,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2011-01-03 12:13:00,5.81,16841,Belgium,2011-01-03 12:13:00,2011-01-03,2011,2011-01,11.62,False
536418,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-01-07 11:26:00,2.55,17448,Netherlands,2011-01-07 11:26:00,2011-01-07,2011,2011-01,2.55,False
536419,22633,HAND WARMER UNION JACK,1,2011-03-22 16:36:00,6.07,13522,France,2011-03-22 16:36:00,2011-03-22,2011,2011-03,6.07,False
536419,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-03-27 18:05:00,6.82,15300,United Kingdom,2011-03-27 18:05:00,2011-03-27,2011,2011-03,13.64,False
536419,22632,HAND WARMER RED POLKA DOT,4,2011-03-02 08:40:00,2.86,15404,France,2011-03-02 08:40:00,2011-03-02,2011,2011-03,11.44,False
536420,71053,WHITE METAL LANTERN,12,2011-03-26 18:06:00,6.43,15069,Germany,2011-03-26 18:06:00,2011-03-26,2011,2011-03,77.16,False
536420,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-03-01 15:40:00,5.33,13450,United Kingdom,2011-03-01 15:40:00,2011-03-01,2011,2011-03,63.96,False
536420,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-01-26 08:20:00,6.14,16568,Netherlands,2011-01-26 08:20:00,2011-01-26,2011,2011-01,6.14,False
536421,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-02-06 13:55:00,8.29,17717,France,2011-02-06 13:55:00,2011-02-06,2011,2011-02,33.16,False
536421,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-02-26 14:21:00,4.01,16410,Belgium,2011-02-26 14:21:00,2011-02-26,2011,2011-02,48.12,False
536421,22632,HAND WARMER RED POLKA DOT,1,2011-02-24 09:27:00,2.99,13824,Spain,2011-02-24 09:27:00,2011-02-24,2011,2011-02,2.99,False
536422,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-02-27 17:45:00,2.72,17996,Netherlands,2011-02-27 17:45:00,2011-02-27,2011,2011-02,8.16,False
536422,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-02-05 18:50:00,2.87,12960,Belgium,2011-02-05 18:50:00,2011-02-05,2011,2011-02,11.48,False
536422,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-03-19 18:50:00,4.35,13380,United Kingdom,2011-03-19 18:50:00,2011-03-19,2011,2011-03,8.7,False
536423,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-01-05 17:09:00,5.18,15384,France,2011-01-05 17:09:00,2011-01-05,2011,2011-01,31.08,False
536423,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-02-10 18:17:00,5.05,13275,United Kingdom,2011-02-10 18:17:00,2011-02-10,2011,2011-02,20.2,False
536423,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-02-03 12:45:00,6.15,17358,France,2011-02-03 12:45:00,2011-02-03,2011,2011-02,6.15,False
536424,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2011-01-10 15:11:00,4.53,15992,United Kingdom,2011-01-10 15:11:00,2011-01-10,2011,2011-01,108.72,False
536424,22752,SET 7 BABUSHKA NESTING BOXES,12,2011-01-09 16:34:00,7.41,14803,Germany,2011-01-09 16:34:00,2011-01-09,2011,2011-01,88.92,False
536424,84406B,UNKNOWN_ITEM,6,2011-01-29 09:12:00,3.97,14285,Netherlands,2011-01-29 09:12:00,2011-01-29,2011,2011-01,23.82,False
536425,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-01-17 17:56:00,9.94,14879,Netherlands,2011-01-17 17:56:00,2011-01-17,2011,2011-01,59.64,False
536425,22632,HAND WARMER RED POLKA DOT,4,2011-03-15 09:08:00,5.75,17608,United Kingdom,2011-03-15 09:08:00,2011-03-15,2011,2011-03,23.0,False
536425,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-03-12 18:37:00,2.79,13403,Netherlands,2011-03-12 18:37:00,2011-03-12,2011,2011-03,66.96000000000001,False
536426,71053,WHITE METAL LANTERN,3,2011-01-22 10:20:00,2.36,14193,France,2011-01-22 10:20:00,2011-01-22,2011,2011-01,7.08,False
536426,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-01-26 18:35:00,5.46,17466,France,2011-01-26 18:35:00,2011-01-26,2011,2011-01,16.38,False
536426,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-01-20 10:42:00,4.05,17303,France,2011-01-20 10:42:00,2011-01-20,2011,2011-01,24.299999999999997,False
536427,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-03-15 12:41:00,5.93,17032,Netherlands,2011-03-15 12:41:00,2011-03-15,2011,2011-03,71.16,False
536427,22632,HAND WARMER RED POLKA DOT,3,2011-03-03 11:51:00,5.45,15672,France,2011-03-03 11:51:00,2011-03-03,2011,2011-03,16.35,False
536427,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-03-01 11:21:00,4.35,14906,Belgium,2011-03-01 11:21:00,2011-03-01,2011,2011-03,17.4,False
536428,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-02-17 16:35:00,2.81,14326,Netherlands,2011-02-17 16:35:00,2011-02-17,2011,2011-02,5.62,False
536428,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-02-19 17:26:00,1.47,13654,France,2011-02-19 17:26:00,2011-02-19,2011,2011-02,4.41,False
536428,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2011-03-07 15:31:00,3.61,16420,United Kingdom,2011-03-07 15:31:00,2011-03-07,2011,2011-03,14.44,False
536429,22633,HAND WARMER UNION JACK,2,2011-03-16 13:03:00,6.21,GUEST,France,2011-03-16 13:03:00,2011-03-16,2011,2011-03,12.42,False
536429,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-02-16 14:23:00,4.93,12765,France,2011-02-16 14:23:00,2011-02-16,2011,2011-02,14.79,False
536429,22632,HAND WARMER RED POLKA DOT,6,2011-02-05 17:43:00,2.01,13400,United Kingdom,2011-02-05 17:43:00,2011-02-05,2011,2011-02,12.059999999999999,False
536430,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-01-19 11:38:00,4.85,16442,United Kingdom,2011-01-19 11:38:00,2011-01-19,2011,2011-01,14.549999999999999,False
536430,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-02-28 10:38:00,5.27,13491,France,2011-02-28 10:38:00,2011-02-28,2011,2011-02,31.619999999999997,False
536430,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-02-08 17:21:00,2.73,16521,Spain,2011-02-08 17:21:00,2011-02-08,2011,2011-02,32.76,False
536431,22633,HAND WARMER UNION JACK,3,2011-02-12 18:07:00,4.81,17127,France,2011-02-12 18:07:00,2011-02-12,2011,2011-02,14.43,False
536431,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-25 17:36:00,4.62,12766,Spain,2011-03-25 17:36:00,2011-03-25,2011,2011-03,13.86,False
536431,84879,UNKNOWN_ITEM,4,2011-01-19 18:15:00,2.21,18084,Germany,2011-01-19 18:15:00,2011-01-19,2011,2011-01,8.84,False
536432,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-02-22 16:49:00,5.22,16209,Belgium,2011-02-22 16:49:00,2011-02-22,2011,2011-02,10.44,False
536432,22632,HAND WARMER RED POLKA DOT,3,2011-03-26 15:33:00,5.62,13764,Netherlands,2011-03-26 15:33:00,2011-03-26,2011,2011-03,16.86,False
536432,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-03-29 18:51:00,6.67,17343,Netherlands,2011-03-29 18:51:00,2011-03-29,2011,2011-03,160.07999999999998,False
536433,22632,HAND WARMER RED POLKA DOT,3,2011-02-06 11:44:00,6.61,14943,Netherlands,2011-02-06 11:44:00,2011-02-06,2011,2011-02,19.830000000000002,False
536433,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-03-28 16:24:00,1.74,15578,France,2011-03-28 16:24:00,2011-03-28,2011,2011-03,10.44,False
536433,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-02-14 15:41:00,2.62,16270,Germany,2011-02-14 15:41:00,2011-02-14,2011,2011-02,5.24,False
536434,22632,HAND WARMER RED POLKA DOT,2,2011-01-14 17:47:00,5.53,14332,United Kingdom,2011-01-14 17:47:00,2011-01-14,2011,2011-01,11.06,False
536434,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2011-02-12 15:06:00,5.53,13472,United Kingdom,2011-02-12 15:06:00,2011-02-12,2011,2011-02,132.72,False
536434,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-03-03 18:12:00,5.53,14699,France,2011-03-03 18:12:00,2011-03-03,2011,2011-03,22.12,False
536435,71053,WHITE METAL LANTERN,2,2011-03-10 08:58:00,12.21,15769,Germany,2011-03-10 08:58:00,2011-03-10,2011,2011-03,24.42,False
536435,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-02-07 08:00:00,5.64,17283,United Kingdom,2011-02-07 08:00:00,2011-02-07,2011,2011-02,11.28,False
536435,22633,HAND WARMER UNION JACK,6,2011-03-09 15:56:00,6.77,16476,Netherlands,2011-03-09 15:56:00,2011-03-09,2011,2011-03,40.62,False
536436,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-03-24 12:45:00,6.41,15107,France,2011-03-24 12:45:00,2011-03-24,2011,2011-03,25.64,False
536436,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-02-21 14:32:00,5.8,15629,Belgium,2011-02-21 14:32:00,2011-02-21,2011,2011-02,69.6,False
536436,22633,HAND WARMER UNION JACK,2,2011-01-01 12:24:00,3.87,14533,France,2011-01-01 12:24:00,2011-01-01,2011,2011-01,7.74,False
536437,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-30 11:03:00,6.02,16158,France,2011-03-30 11:03:00,2011-03-30,2011,2011-03,18.06,False
536437,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-02-07 13:39:00,2.95,13440,Netherlands,2011-02-07 13:39:00,2011-02-07,2011,2011-02,35.400000000000006,False
536437,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2011-03-12 15:48:00,4.03,17786,Germany,2011-03-12 15:48:00,2011-03-12,2011,2011-03,48.36,False
536438,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-03-09 15:33:00,3.53,12985,Spain,2011-03-09 15:33:00,2011-03-09,2011,2011-03,3.53,False
536438,22632,HAND WARMER RED POLKA DOT,6,2011-01-20 10:20:00,4.66,15965,United Kingdom,2011-01-20 10:20:00,2011-01-20,2011,2011-01,27.96,False
536438,22633,HAND WARMER UNION JACK,6,2011-02-27 08:29:00,9.13,15749,Netherlands,2011-02-27 08:29:00,2011-02-27,2011,2011-02,54.78,False
536439,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-02-02 08:47:00,0.77,12944,United Kingdom,2011-02-02 08:47:00,2011-02-02,2011,2011-02,3.08,False
536439,22632,HAND WARMER RED POLKA DOT,1,2011-03-02 08:18:00,5.87,13455,Belgium,2011-03-02 08:18:00,2011-03-02,2011,2011-03,5.87,False
536439,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-02-27 14:24:00,1.27,17767,Spain,2011-02-27 14:24:00,2011-02-27,2011,2011-02,5.08,False
536440,71053,WHITE METAL LANTERN,6,2011-02-20 16:08:00,3.56,14170,United Kingdom,2011-02-20 16:08:00,2011-02-20,2011,2011-02,21.36,False
536440,22633,HAND WARMER UNION JACK,6,2011-02-24 16:24:00,6.68,14373,Netherlands,2011-02-24 16:24:00,2011-02-24,2011,2011-02,40.08,False
536440,71053,WHITE METAL LANTERN,24,2011-03-20 08:15:00,4.63,13172,Spain,2011-03-20 08:15:00,2011-03-20,2011,2011-03,111.12,False
536441,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-02-21 15:14:00,2.34,12808,Germany,2011-02-21 15:14:00,2011-02-21,2011,2011-02,2.34,False
536441,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-03-28 13:15:00,3.07,13519,Belgium,2011-03-28 13:15:00,2011-03-28,2011,2011-03,18.419999999999998,False
536441,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-03-22 18:27:00,5.86,12730,France,2011-03-22 18:27:00,2011-03-22,2011,2011-03,17.580000000000002,False
536442,22632,HAND WARMER RED POLKA DOT,4,2011-02-22 10:19:00,3.04,16752,Netherlands,2011-02-22 10:19:00,2011-02-22,2011,2011-02,12.16,False
536442,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-03-13 14:26:00,4.93,13444,Netherlands,2011-03-13 14:26:00,2011-03-13,2011,2011-03,4.93,False
536442,71053,WHITE METAL LANTERN,24,2011-02-17 09:34:00,4.59,13906,United Kingdom,2011-02-17 09:34:00,2011-02-17,2011,2011-02,110.16,False
536443,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2011-01-25 17:46:00,3.2,14123,Netherlands,2011-01-25 17:46:00,2011-01-25,2011,2011-01,6.4,False
536443,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-01-28 11:47:00,8.79,16269,Germany,2011-01-28 11:47:00,2011-01-28,2011,2011-01,8.79,False
536443,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-02-11 12:24:00,5.77,17660,France,2011-02-11 12:24:00,2011-02-11,2011,2011-02,34.62,False
536444,22633,HAND WARMER UNION JACK,24,2011-03-02 13:58:00,0.5,14909,Netherlands,2011-03-02 13:58:00,2011-03-02,2011,2011-03,12.0,False
536444,84406B,CREAM CUPID HEARTS COAT HANGER,-2,2011-03-16 17:46:00,4.87,13594,Germany,2011-03-16 17:46:00,2011-03-16,2011,2011-03,-9.74,True
536444,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-03-29 13:16:00,3.18,16348,Belgium,2011-03-29 13:16:00,2011-03-29,2011,2011-03,38.160000000000004,False
536445,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-01-22 10:46:00,6.2,13853,Spain,2011-01-22 10:46:00,2011-01-22,2011,2011-01,18.6,False
536446,22632,HAND WARMER RED POLKA DOT,1,2011-03-09 12:34:00,5.51,12486,Spain,2011-03-09 12:34:00,2011-03-09,2011,2011-03,5.51,False
536446,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-03-09 10:15:00,6.23,16658,France,2011-03-09 10:15:00,2011-03-09,2011,2011-03,6.23,False
536446,21730,GLASS STAR FROSTED T-LIGHT HOLDER,24,2011-02-28 17:15:00,2.1,14196,France,2011-02-28 17:15:00,2011-02-28,2011,2011-02,50.400000000000006,False
536447,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-02-18 16:30:00,3.83,12423,United Kingdom,2011-02-18 16:30:00,2011-02-18,2011,2011-02,15.32,False
536447,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-01-13 16:58:00,3.55,GUEST,France,2011-01-13 16:58:00,2011-01-13,2011,2011-01,85.19999999999999,False
536447,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-03-26 08:11:00,3.19,14922,United Kingdom,2011-03-26 08:11:00,2011-03-26,2011,2011-03,19.14,False
536448,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-01-21 17:15:00,8.03,15533,Belgium,2011-01-21 17:15:00,2011-01-21,2011,2011-01,24.089999999999996,False
536448,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-01-11 16:47:00,5.31,12785,United Kingdom,2011-01-11 16:47:00,2011-01-11,2011,2011-01,63.72,False
536448,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-03-18 14:49:00,1.98,17540,France,2011-03-18 14:49:00,2011-03-18,2011,2011-03,11.879999999999999,False
536449,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2011-02-25 10:43:00,6.34,15459,United Kingdom,2011-02-25 10:43:00,2011-02-25,2011,2011-02,25.36,False
536449,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-02-04 10:24:00,8.74,17538,Germany,2011-02-04 10:24:00,2011-02-04,2011,2011-02,8.74,False
536449,71053,WHITE METAL LANTERN,3,2011-02-26 13:48:00,6.56,13431,United Kingdom,2011-02-26 13:48:00,2011-02-26,2011,2011-02,19.68,False
536450,22632,HAND WARMER RED POLKA DOT,1,2011-01-04 09:22:00,1.46,17236,Spain,2011-01-04 09:22:00,2011-01-04,2011,2011-01,1.46,False
536450,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-01-11 16:57:00,3.53,14334,Spain,2011-01-11 16:57:00,2011-01-11,2011,2011-01,14.12,False
536450,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-02-04 15:09:00,7.03,15906,France,2011-02-04 15:09:00,2011-02-04,2011,2011-02,21.09,False
536451,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-02-18 13:28:00,5.39,17679,Spain,2011-02-18 13:28:00,2011-02-18,2011,2011-02,32.339999999999996,False
536451,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-02-20 13:18:00,6.05,17530,Netherlands,2011-02-20 13:18:00,2011-02-20,2011,2011-02,12.1,False
536452,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-02-20 13:07:00,2.65,13982,Spain,2011-02-20 13:07:00,2011-02-20,2011,2011-02,63.599999999999994,False
536452,22632,HAND WARMER RED POLKA DOT,-1,2011-04-01 11:28:00,4.38,18021,United Kingdom,2011-04-01 11:28:00,2011-04-01,2011,2011-04,-4.38,True
536452,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-03-23 12:15:00,0.5,13608,Belgium,2011-03-23 12:15:00,2011-03-23,2011,2011-03,1.0,False
536453,22633,HAND WARMER UNION JACK,4,2011-03-16 14:34:00,2.45,18012,Netherlands,2011-03-16 14:34:00,2011-03-16,2011,2011-03,9.8,False
536453,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-03-10 17:40:00,3.99,13241,Germany,2011-03-10 17:40:00,2011-03-10,2011,2011-03,95.76,False
536453,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-02-12 14:06:00,2.0,14465,Spain,2011-02-12 14:06:00,2011-02-12,2011,2011-02,48.0,False
536454,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-02-20 15:49:00,7.76,18002,Spain,2011-02-20 15:49:00,2011-02-20,2011,2011-02,23.28,False
536454,22633,HAND WARMER UNION JACK,4,2011-01-11 09:53:00,1.64,13506,France,2011-01-11 09:53:00,2011-01-11,2011,2011-01,6.56,False
536454,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-03-02 09:28:00,3.62,16052,France,2011-03-02 09:28:00,2011-03-02,2011,2011-03,10.86,False
536455,71053,WHITE METAL LANTERN,12,2011-03-24 09:43:00,4.76,14344,Spain,2011-03-24 09:43:00,2011-03-24,2011,2011-03,57.12,False
536455,22632,HAND WARMER RED POLKA DOT,4,2011-01-30 14:40:00,7.38,17592,Belgium,2011-01-30 14:40:00,2011-01-30,2011,2011-01,29.52,False
536455,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2011-03-17 14:24:00,1.63,14105,France,2011-03-17 14:24:00,2011-03-17,2011,2011-03,6.52,False
536456,71053,WHITE METAL LANTERN,24,2011-03-10 10:23:00,6.83,16094,United Kingdom,2011-03-10 10:23:00,2011-03-10,2011,2011-03,163.92000000000002,False
536456,22632,HAND WARMER RED POLKA DOT,3,2011-03-18 14:39:00,4.52,13281,France,2011-03-18 14:39:00,2011-03-18,2011,2011-03,13.559999999999999,False
536456,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-02-08 17:37:00,2.54,13443,France,2011-02-08 17:37:00,2011-02-08,2011,2011-02,30.48,False
536457,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-03-07 14:26:00,5.42,17054,Netherlands,2011-03-07 14:26:00,2011-03-07,2011,2011-03,10.84,False
536457,22632,HAND WARMER RED POLKA DOT,12,2011-01-23 16:10:00,4.9,13495,Germany,2011-01-23 16:10:00,2011-01-23,2011,2011-01,58.800000000000004,False
536457,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-03-04 10:12:00,3.3,16946,Spain,2011-03-04 10:12:00,2011-03-04,2011,2011-03,3.3,False
536458,22633,HAND WARMER UNION JACK,24,2011-02-26 15:10:00,4.64,12598,Germany,2011-02-26 15:10:00,2011-02-26,2011,2011-02,111.35999999999999,False
536458,22632,HAND WARMER RED POLKA DOT,24,2011-02-28 17:47:00,3.73,16403,Spain,2011-02-28 17:47:00,2011-02-28,2011,2011-02,89.52,False
536458,84029E,RED WOOLLY HOTTIE WHITE HEART,24,2011-02-16 16:52:00,4.73,18235,Netherlands,2011-02-16 16:52:00,2011-02-16,2011,2011-02,113.52000000000001,False
536459,71053,WHITE METAL LANTERN,12,2011-02-01 12:55:00,5.82,16030,France,2011-02-01 12:55:00,2011-02-01,2011,2011-02,69.84,False
536459,22633,HAND WARMER UNION JACK,1,2011-01-31 11:51:00,7.67,17991,France,2011-01-31 11:51:00,2011-01-31,2011,2011-01,7.67,False
536459,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-01-27 11:51:00,2.02,GUEST,Spain,2011-01-27 11:51:00,2011-01-27,2011,2011-01,4.04,False
536460,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-03-07 18:52:00,8.77,15717,United Kingdom,2011-03-07 18:52:00,2011-03-07,2011,2011-03,26.31,False
536460,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-02-01 10:45:00,0.6,14373,Belgium,2011-02-01 10:45:00,2011-02-01,2011,2011-02,1.2,False
536460,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-02-27 09:40:00,4.2,13108,Netherlands,2011-02-27 09:40:00,2011-02-27,2011,2011-02,16.8,False
536461,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-02-11 17:00:00,5.68,13109,Belgium,2011-02-11 17:00:00,2011-02-11,2011,2011-02,22.72,False
536461,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-03-10 14:13:00,5.06,14081,Netherlands,2011-03-10 14:13:00,2011-03-10,2011,2011-03,121.44,False
536461,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-03-14 15:50:00,3.25,17937,United Kingdom,2011-03-14 15:50:00,2011-03-14,2011,2011-03,6.5,False
536462,22633,HAND WARMER UNION JACK,3,2011-02-26 15:00:00,4.08,15850,Germany,2011-02-26 15:00:00,2011-02-26,2011,2011-02,12.24,False
536462,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-01-12 18:23:00,3.51,15392,Belgium,2011-01-12 18:23:00,2011-01-12,2011,2011-01,10.53,False
536462,21730,UNKNOWN_ITEM,12,2011-03-31 11:27:00,3.32,18110,United Kingdom,2011-03-31 11:27:00,2011-03-31,2011,2011-03,39.839999999999996,False
536463,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-03-29 15:00:00,6.2,15160,Netherlands,2011-03-29 15:00:00,2011-03-29,2011,2011-03,37.2,False
536463,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-01-14 09:20:00,5.21,14797,Germany,2011-01-14 09:20:00,2011-01-14,2011,2011-01,62.519999999999996,False
536463,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-01-19 09:33:00,3.11,17345,Belgium,2011-01-19 09:33:00,2011-01-19,2011,2011-01,37.32,False
536464,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-02-22 17:43:00,6.3,14125,United Kingdom,2011-02-22 17:43:00,2011-02-22,2011,2011-02,12.6,False
536464,71053,WHITE METAL LANTERN,4,2011-02-14 14:20:00,5.11,14375,France,2011-02-14 14:20:00,2011-02-14,2011,2011-02,20.44,False
536464,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-02-06 08:54:00,6.13,14817,Germany,2011-02-06 08:54:00,2011-02-06,2011,2011-02,36.78,False
536465,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-01-31 15:24:00,5.76,16438,Belgium,2011-01-31 15:24:00,2011-01-31,2011,2011-01,5.76,False
536465,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-01-17 14:55:00,2.84,15793,France,2011-01-17 14:55:00,2011-01-17,2011,2011-01,8.52,False
536465,22633,HAND WARMER UNION JACK,24,2011-01-10 08:37:00,3.38,14493,Germany,2011-01-10 08:37:00,2011-01-10,2011,2011-01,81.12,False
536466,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-03-06 14:27:00,5.99,13021,Belgium,2011-03-06 14:27:00,2011-03-06,2011,2011-03,71.88,False
536466,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-03-07 11:51:00,5.72,15022,Netherlands,2011-03-07 11:51:00,2011-03-07,2011,2011-03,5.72,False
536466,71053,WHITE METAL LANTERN,4,2011-01-31 08:15:00,4.46,15905,United Kingdom,2011-01-31 08:15:00,2011-01-31,2011,2011-01,17.84,False
536467,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-01-23 09:00:00,4.73,18092,United Kingdom,2011-01-23 09:00:00,2011-01-23,2011,2011-01,56.760000000000005,False
536467,22632,HAND WARMER RED POLKA DOT,24,2011-02-03 10:23:00,7.06,14547,Belgium,2011-02-03 10:23:00,2011-02-03,2011,2011-02,169.44,False
536467,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-02-04 16:04:00,3.32,17069,Belgium,2011-02-04 16:04:00,2011-02-04,2011,2011-02,13.28,False
536468,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-02-17 10:16:00,5.59,17047,Belgium,2011-02-17 10:16:00,2011-02-17,2011,2011-02,16.77,False
536468,22632,HAND WARMER RED POLKA DOT,1,2011-02-01 08:30:00,4.1,13575,Germany,2011-02-01 08:30:00,2011-02-01,2011,2011-02,4.1,False
536468,22632,HAND WARMER RED POLKA DOT,12,2011-03-25 14:14:00,4.06,15755,Belgium,2011-03-25 14:14:00,2011-03-25,2011,2011-03,48.72,False
536469,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-03-28 08:11:00,6.7,16571,United Kingdom,2011-03-28 08:11:00,2011-03-28,2011,2011-03,40.2,False
536469,22633,HAND WARMER UNION JACK,24,2011-02-09 13:05:00,6.15,12411,France,2011-02-09 13:05:00,2011-02-09,2011,2011-02,147.60000000000002,False
536469,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-03-01 13:37:00,6.13,13946,Belgium,2011-03-01 13:37:00,2011-03-01,2011,2011-03,12.26,False
536470,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-02-09 09:13:00,4.54,14297,Netherlands,2011-02-09 09:13:00,2011-02-09,2011,2011-02,54.480000000000004,False
536470,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-01-06 11:57:00,5.86,15729,Belgium,2011-01-06 11:57:00,2011-01-06,2011,2011-01,5.86,False
536471,71053,WHITE METAL LANTERN,6,2011-01-18 18:52:00,3.88,17194,Spain,2011-01-18 18:52:00,2011-01-18,2011,2011-01,23.28,False
536471,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-02-10 14:44:00,5.15,15018,France,2011-02-10 14:44:00,2011-02-10,2011,2011-02,15.450000000000001,False
536471,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2011-03-16 09:09:00,4.24,16028,Netherlands,2011-03-16 09:09:00,2011-03-16,2011,2011-03,101.76,False
536472,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-02-27 12:29:00,4.69,13328,United Kingdom,2011-02-27 12:29:00,2011-02-27,2011,2011-02,9.38,False
